계정과목,1월,2월,3월,4월,5월,6월
현금 및 현금성자산,"138,430,812","128,895,183","115,321,447","126,200,172","113,293,543","119,521,819"
직영AR,"69,886,330","54,085,500","43,785,700","54,341,762","68,698,516","32,269,240"
대리상AR,"764,712,187","682,450,035","772,439,686","661,987,400","392,168,111","362,474,384"
재고자산,"1,456,879,120","1,509,278,686","1,260,417,666","1,066,482,415","915,203,379","993,017,373"
선급금(본사),"150,000,000",,,,"350,000,000","350,000,000"
선급금(기타),"66,580,303","53,710,561","43,965,651","27,302,033","33,931,243","28,961,219"
기타 유동자산,"68,976,633","71,490,704","68,082,001","64,595,262","63,250,650","65,904,061"
사용권자산,"155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388"
이연법인세자산,"108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788"
"유,무형자산","38,937,693","39,111,941","39,286,189","39,460,437","39,634,685","39,808,933"
본사 AP,"530,416,609","267,542,006","98,479,496","26,568,759","41,450,047","205,694,501"
제품 AP,"37,609,842","31,767,009","4,597,312","5,300,856","4,165,663","36,234,357"
차입금,"924,000,000","980,000,000","980,000,000","760,000,000","690,000,000","486,000,000"
대리상선수금,"408,059,714","408,059,714","408,237,218","408,237,218","408,237,218","408,413,728"
대리상지원금,"104,796,051","99,796,051","94,796,051","89,796,051","84,796,051","79,796,051"
기타 유동부채,"228,187,298","214,210,941","223,573,785","200,979,483","184,208,805","215,055,894"
"리스부채(장,단기)","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989"
장기보증금,"39,086,222","39,086,222","39,086,222","39,086,222","39,086,222","39,086,222"
자본금,"35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903"
이익잉여금,"557,020,627","573,333,952","569,301,541","585,174,178","599,009,407","596,449,560"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
