대리상 명칭, 외상매출금 , 선수금 
합계," 503,208,394 "," 295,997,795 "
"Shanghai Lingbo Trading Co., Ltd."," 96,442,989 "," 48,804,371 "
"Hangzhou Yuzhen Commercial Co., Ltd."," 42,740,426 "," 29,630,102 "
"Harbin Linjia Trading Co., Ltd."," 40,063,979 "," 20,199,281 "
"Jiangsu Junxi Network Technology Co., Ltd."," 32,666,205 "," 17,627,810 "
"Ivy (Guangzhou) Investment Co., Ltd."," 44,007,653 "," 14,496,383 "
"Chengdu Baokang Clothing Trading Co., Ltd."," 28,554,400 "," 15,974,301 "
"Shandong Dejunfeng Brand Management Co., Ltd."," 18,586,608 "," 17,846,656 "
"Yifan (Shanghai) Brand Management Co., Ltd."," 21,406,107 "," 18,870,456 "
"Beijing Xinju Shengye Clothing Co., Ltd."," 28,489,812 "," 16,706,967 "
"Shenyang Gufugu Trading Co., Ltd."," 21,691,076 "," 12,793,995 "
"Beijing Jingrui Trading Development Co., Ltd."," 26,294,856 "," 15,306,842 "
"Wuhan Moding Trading Co., Ltd."," 23,165,578 "," 14,498,146 "
"Henan Jinanxin Trading Co., Ltd."," 26,704,172 "," 11,106,543 "
"Changsha Poyu Trading Co., Ltd."," 14,468,013 "," 11,388,003 "
"Huachu Yitong International Trading Co., Ltd."," 9,867,194 "," 11,157,831 "
"Beijing Jiashang International Fashion Co., Ltd."," 11,091,292 "," 11,238,062 "
"Shenzhen Pros Trading Co., Ltd."," 16,968,033 "," 8,352,044 "
"Jiangsu Soho International Group Co., Ltd."," 11,039,724 "," 12,139,346 "
"Chongqing Xuan Ge Trading Co., Ltd."," 11,350,552 "," 7,599,792 "
"Shanxi Linghao International Trading Co., Ltd."," 15,350,262 "," 10,102,230 "
"Xi’an Naji Power Trading Co., Ltd."," 10,688,400 "," 8,072,070 "
"Yunnan Hengpan Trading Co., Ltd."," 8,565,913 "," 7,979,252 "
"Xiamen Shiyun Trading Co., Ltd."," 6,067,947 "," 7,197,908 "
"Inner Mongolia Xuya Trading Co., Ltd."," 6,235,584 "," 6,665,005 "
"Shenyang Ruiyuanhe Trading Co., Ltd."," 12,799,561 "," 6,432,771 "
"Jiangxi Chaoming Trend Trading Co., Ltd."," 11,135,775 "," 5,746,133 "
"Shenzhen Youying Trading Co., Ltd."," 6,644,659 "," 5,256,140 "
Ningbo Shanyu, - ," 5,454,205 "
"Xiamen Bailun Apparel Co., Ltd."," 7,641,984 "," 4,993,762 "
"Xinjiang Xin Sanshi Trading Co., Ltd."," 4,891,768 "," 3,338,962 "
"Beijing Qimiao Technology Co., Ltd."," 5,167,876 "," 2,950,425 "
"Xingyuhongwen (Shenyang) Trading Co., Ltd."," 2,917,500 "," 2,730,333 "
"Chengdu Laiheng Trading Co., Ltd."," 3,885,718 "," 1,944,027 "
"Beijing Trend Trading Co., Ltd."," 3,590,682 "," 1,840,404 "
"Xi’an Meishang Apparel Trading Co., Ltd.","-1,728,405 "," 1,498,502 "
"Hangzhou Youliu Network Technology Co., Ltd."," 1,160,310 "," 653,396 "
"Jiangsu Lucky Leaf Digital Technology Co., Ltd."," 61,330 "," 606,224 "
"Beijing Lanmeng Yuqi Trading Co., Ltd."," 28,118 "," 581,656 "
"Changchun Enhe Brand Management Co., Ltd."," 618,724 ", - 
"Urumqi Chuying Haohan Trading Co., Ltd."," 132,972 "," 133,575 "
"Wuhan Dingshang Trading Co., Ltd."," 455,788 ", - 
"Fruida (Shenyang) Trading Co., Ltd.","-274,329 ", - 
"Fengsheng (Guangzhou) Brand Management Co., Ltd."," 926,954 ", - 
"Shanxi Yingxuan Trading Co., Ltd."," 148,432 ", - 
"Wanchen Jiayun (Beijing) Apparel Co., Ltd.", - ," 78,511 "
