level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(매장),0.0617,0.02646,0.02869,0.05767,0.06761,0.03329,0.0247,0.02475,0.0115,0.02568,0.01246
복리후생비(매장),0.02258,0.01459,0.01548,0.02566,0.03209,0.02425,0.0149,0.01308,0.00602,0.0153,0.00781
플랫폼수수료,0.0229,0.01524,0.01225,0.02304,0.03688,0.00914,0.0207,0.0246,0.01898,0.08119,0.03134
TP수수료,0.08295,0.05118,0.04494,0.08365,0.10176,0.04156,0.05359,0.05206,0.02665,0.134,0.0306
직접광고비,0.06951,0.0633,0.0356,0.12381,0.1031,0.02026,0.10406,0.06188,0.10296,0.08116,0.04981
대리상지원금,281352.9431,784461.5812,1020023.544,220101.7743,238182.4056,1001291.525,849677.5808,1324197.613,3092525.851,729378.806,3220626.082
물류비,0.04392,0.03741,0.04443,0.05718,0.05315,0.0506,0.04663,0.04795,0.05633,0.05601,0.05548
매장임차료,0.16223,0.10483,0.10056,0.18736,0.25938,0.15116,0.1097,0.09628,0.03656,0.11382,0.04516
감가상각비,82616.80639,82616.80639,82616.80639,82616.80639,118529.3064,118529.3064,118529.3064,118529.3064,118529.3064,118529.3064,161029.3064
기타(직접비),29776.82052,73040.29168,177671.6157,57154.0518,269736.9298,110899.4348,54437.72237,190186.7869,199128.2167,249874.287,261746.8761
