level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(매장),0.105825901,0.029365294,0.036867235,0.068365055,0.057587522,0.040222991,0.033371234,0.041917699,0.042466299,0.042600705,0.037177468
복리후생비(매장),0.032483167,0.023265632,0.023894474,0.031541247,0.038648122,0.044744766,0.023814463,0.029078151,0.02302254,0.033173655,0.021378752
플랫폼수수료,0.019094015,0.025391956,0.025000206,0.027985227,0.041400292,0.016173773,0.015411617,0.026901268,0.031203484,0.048281212,0.020653162
TP수수료,0.021008996,0.021105117,0.019626145,0.022576958,0.041212534,0.015602811,0.012497462,0.019472135,0.0234784,0.049245913,0.018359768
직접광고비,0.027130084,0.043336461,0.030619346,0.063464291,0.046421364,0.018436841,0.021785133,0.031129039,0.070848629,0.065275889,0.031108065
대리상지원금,443496.2961,1166278.076,1250288.625,256159.2839,477523.4357,853509.0701,1220425.688,917301.76,776741.6451,519922.2596,1082154.304
물류비,0.02880167,0.039524459,0.036897129,0.038052285,0.039056687,0.031451272,0.026625683,0.030807134,0.039126095,0.03528632,0.033999575
매장임차료,0.153506554,0.096222571,0.091291843,0.142104384,0.160565351,0.136919201,0.096160768,0.114975704,0.079992887,0.129946609,0.121819864
감가상각비,173069.7814,153171.3316,127960.7431,169215.753,159292.0459,147902.1936,179851.1292,175687.6858,174330.5236,174208.2233,172860.7089
기타(직접비),214256.379,175612.4798,389155.2247,299480.8299,217296.1571,148359.9261,273743.9781,171883.1747,269617.5184,190258.9606,306658.5478
