level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(매장),0.01197,0.00641,0.00926,0.01353,0.01396,0.00775,0.00504,0.00632,0.00894,0.00967,0.0061
복리후생비(매장),0.00423,0.00418,0.00578,0.00645,0.00801,0.00701,0.00395,0.00421,0.00547,0.00736,0.00437
플랫폼수수료,0.00803,0.01231,0.01392,0.02132,0.01979,0.01019,0.00762,0.00957,0.01704,0.03206,0.01285
TP수수료,0.01018,0.01313,0.01646,0.02523,0.02329,0.01179,0.00732,0.0112,0.01693,0.03991,0.01355
직접광고비,0.00764,0.01657,0.01758,0.0521,0.0382,0.01261,0.0105,0.01696,0.0543,0.05019,0.01944
대리상지원금,10940449.23,10148042.95,7882826.44,4699568.793,4607063.97,8082494.309,13617193.23,12355523.49,8808883.359,5388143.962,11911594.39
물류비,0.01536,0.01825,0.01878,0.02475,0.0207,0.01559,0.01385,0.01495,0.02562,0.02546,0.01717
매장임차료,0.02954,0.02456,0.03039,0.03982,0.04385,0.02966,0.01911,0.02128,0.02711,0.04228,0.02791
감가상각비,623406.3554,618778.4505,696680.5057,675272.2669,752851.6687,747948.6965,734329.7738,734201.8153,793118.5619,790173.7519,788871.5686
기타(직접비),1354899.11,1515763.427,1353440.49,1490703.498,1442739.507,882057.0137,1296828.06,1027202.431,2282568.096,1182669.58,1411250.705
