,,대리상 명칭,  외상매출금  ,  선수금  ,,,11070107,21050103,,,,,
8000015,上海凌博商贸有限公司,"Shanghai Lingbo Trading Co., Ltd."," 111,113,920 "," 48,804,371 ",,,AR,advance,,,,,
8000003,常春藤(广州)投资有限公司,"Ivy (Guangzhou) Investment Co., Ltd."," 43,184,415 "," 14,496,383 ",,,,,,,,,
8000030,哈尔滨麟嘉商贸有限公司,"Harbin Linjia Trading Co., Ltd."," 53,008,266 "," 20,192,021 ",,,,,,,,,
8000007,杭州宇振商业有限公司,"Hangzhou Yuzhen Commercial Co., Ltd."," 50,947,358 "," 29,630,102 ",,,,,,,,,
8000183,北京鑫聚盛业服装服饰有限公司,"Beijing Xinjushengye Apparel Co., Ltd."," 30,274,005 "," 16,706,967 ",,,,,,,,,
8000028,河南金安芯商贸有限公司,"Henan Jin’anxin Trading Co., Ltd."," 26,188,090 "," 11,106,543 ",,,,,,,,,
8000009,成都市宝康服饰商贸有限公司,"Chengdu Baokang Apparel Trading Co., Ltd."," 43,342,889 "," 15,974,301 ",,,,,,,,,
8000027,沈阳固孚固贸易有限公司,"Shenyang Gufugu Trading Co., Ltd."," 33,206,774 "," 12,793,995 ",,,,,,,,,
8000413,山东德峻丰品牌管理有限公司,"Shandong Dejunfeng Brand Management Co., Ltd."," 31,090,717 "," 17,846,656 ",,,,,,,,,
8000023,山西凌皓国际贸易有限公司,"Shanxi Linghao International Trading Co., Ltd."," 17,261,298 "," 10,102,230 ",,,,,,,,,
8000017,沈阳瑞元禾商贸有限公司,"Shenyang Ruiyuanhe Trading Co., Ltd."," 16,725,789 "," 6,432,771 ",,,,,,,,,
8000011,江西朝明潮贸易有限公司,"Jiangxi Chaoming Trend Trading Co., Ltd."," 14,008,239 "," 5,746,133 ",,,,,,,,,
8000001,深圳市普洛狮贸易有限公司,"Shenzhen Puluoshi Trading Co., Ltd."," 22,806,109 "," 8,352,044 ",,,,,,,,,
8000060,江苏骏溪网络科技有限公司,"Jiangsu Junxi Network Technology Co., Ltd."," 17,550,062 "," 17,627,810 ",,,,,,,,,
8000180,内蒙古旭雅商贸有限公司,"Inner Mongolia Xuya Trading Co., Ltd."," 18,588,886 "," 6,665,005 ",,,,,,,,,
8000181,长沙市珀御商贸有限公司,"Changsha Poyu Trading Co., Ltd."," 20,382,076 "," 11,388,003 ",,,,,,,,,
8000018,华初壹通国际贸易有限公司,"Huachu Yitong International Trading Co., Ltd."," 21,342,317 "," 11,157,831 ",,,,,,,,,
8000034,北京晶睿贸易发展有限公司,"Beijing Jingrui Trading Development Co., Ltd."," 14,957,138 "," 15,306,842 ",,,,,,,,,
8000002,深圳有盈贸易有限公司,"Shenzhen Youying Trading Co., Ltd."," 15,464,392 "," 5,256,140 ",,,,,,,,,
8000021,新疆莘三石商贸有限公司,"Xinjiang Xin Sanshi Trading Co., Ltd."," 5,348,171 "," 3,338,962 ",,,,,,,,,
8000006,重庆渲格商贸有限公司,"Chongqing Xuan’ge Trading Co., Ltd."," 11,507,256 "," 7,599,792 ",,,,,,,,,
8000121,星羽宏文（沈阳）商贸有限公司,"Xingyuhongwen (Shenyang) Trading Co., Ltd."," 5,679,469 "," 2,730,333 ",,,,,,,,,
8000029,西安纳霁动力商贸有限公司,"Xi’an Najidongli Trading Co., Ltd."," 11,188,437 "," 8,072,070 ",,,,,,,,,
8000270,南宁市菲诺电子科技有限公司,"Nanning Feinuo Electronic Technology Co., Ltd."," 12,275,717 "," 5,300,982 ",,,,,,,,,
8000010,成都莱恒商贸有限公司,"Chengdu Laiheng Trading Co., Ltd."," 5,456,716 "," 1,944,027 ",,,,,,,,,
8000026,武汉摩顶贸易有限公司,"Wuhan Moding Trading Co., Ltd."," 18,345,010 "," 14,498,146 ",,,,,,,,,
8000005,厦门时韫商贸有限公司,"Xiamen Shiyun Trading Co., Ltd."," 14,874,701 "," 7,197,908 ",,,,,,,,,
8000310,北京绮妙科技有限公司,"Beijing Qimiao Technology Co., Ltd."," 2,925,569 "," 2,950,425 ",,,,,,,,,
8000004,厦门百轮服饰有限公司,"Xiamen Bailun Apparel Co., Ltd."," 7,927,663 "," 4,993,762 ",,,,,,,,,
8000019,北京嘉尚国际时装有限公司,"Beijing Jiashang International Fashion Co., Ltd."," 15,763,131 "," 11,238,062 ",,,,,,,,,
8000033,北京潮流贸易有限公司,"Beijing Trend Trading Co., Ltd."," 1,779,757 "," 1,840,404 ",,,,,,,,,
8000385,云南恒磐商贸有限公司,"Yunnan Hengpan Trading Co., Ltd."," 10,011,369 "," 7,979,252 ",,,,,,,,,
8000232,孚瑞达（沈阳）贸易有限公司,"Furida (Shenyang) Trading Co., Ltd."," 324,794 ",,,,,,,,,,
8000276,山西颖璇贸易有限公司,"Shanxi Yingxuan Trading Co., Ltd."," 313,484 ",,,,,,,,,,
8000237,丰晟（广州）品牌管理有限公司,"Fengsheng (Guangzhou) Brand Management Co., Ltd.","-18,597 ",,,,,,,,,,
8000421,乌鲁木齐雏鹰浩涵商贸有限公司,"Urumqi Chuying Haohan Trading Co., Ltd."," 127,380 "," 133,575 ",,,,,,,,,
8000233,武汉顶尚贸易有限公司,"Wuhan Dingshang Trading Co., Ltd.","-7,587 ",,,,,,,,,,
8000059,杭州优溜网络技术有限公司,"Hangzhou Youliu Network Technology Co., Ltd."," 235,559 "," 653,396 ",,,,,,,,,
8000155,北京蓝梦宇其贸易有限公司,"Beijing Lanmeng Yuqi Trading Co., Ltd."," 382,641 "," 581,656 ",,,,,,,,,
8000189,万辰嘉运（北京）服饰有限公司,"Wanchen Jiayun (Beijing) Apparel Co., Ltd.",,,,,,,,,,,
8000277,长春恩禾品牌管理有限公司,"Changchun Enhe Brand Management Co., Ltd."," 233,230 ",,,,,,,,,,
8000280,江苏幸运叶子数字科技有限公司,"Jiangsu Lucky Leaf Digital Technology Co., Ltd.","-38,539 "," 606,224 ",,,,,,,,,
8000014,依梵(上海)品牌管理有限公司,"Yifan (Shanghai) Brand Management Co., Ltd."," 25,783,031 "," 18,870,456 ",,,,,,,,,
8000187,江苏苏豪国际集团股份有限公司,"Jiangsu Soho International Group Co., Ltd."," 5,267,679 "," 7,888,859 ",,,,,,,,,
8100731,天津乐城置业有限公司,"Tianjin Lecheng Real Estate Co., Ltd.",," 211,924 ",,,,,,,,,
